
|KWMD        |89.7  MHz |FM |209 |ND  |-                   |C3 |-  |CP     |STERLING                 |AK |US |BPED   -20111014ADA |0.     kW |8.     kW |0.0     |61.1    |93589      |N |60 |29 |19.33 |W |150 |44 |42.83 |ALASKA EDUCATIONAL RADIO SYSTEM, INC.                                       |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|152.4  m|-         |-       |1275477 |21.7   m|1451054   |
|WPEH-FM     |92.1  MHz |FM |221 |ND  |-                   |A  |-  |LIC    |LOUISVILLE               |GA |US |BLH    -20090811ACD |6.     kW |6.     kW |91.0    |91.0    |52029      |N |33 |0  |48.00 |W |82  |23 |33.00 |PEACH BROADCASTING CO., INC.                                                |   0.00 km |   0.00 mi |  0.00 deg |183.   m|183.0  m|-         |-       |1020496 |84.    m|1326889   |
|WLHR-FM     |92.1  MHz |FM |221 |ND  |-                   |A  |-  |LIC    |LAVONIA                  |GA |US |BLH    -20110719AAN |4.2    kW |4.2    kW |112.9   |112.9   |54561      |N |34 |22 |2.70  |W |83  |5  |22.00 |LAKE HARTWELL RADIO INC                                                     |   0.00 km |   0.00 mi |  0.00 deg |345.7  m|345.7  m|-         |-       |1279002 |63.7   m|1435977   |
|WDDQ        |92.1  MHz |FM |221 |ND  |-                   |A  |-  |LIC    |ADEL                     |GA |US |BLH    -20111102ACH |2.6    kW |2.6    kW |154.1   |154.1   |72786      |N |31 |8  |15.00 |W |83  |23 |41.00 |SMALLTOWN BROADCASTING, LLC                                                 |   0.00 km |   0.00 mi |  0.00 deg |224.6  m|224.6  m|-         |-       |1263439 |149.3  m|1455720   |
|WSGA        |92.3  MHz |FM |222 |ND  |-                   |C2 |-  |LIC    |HINESVILLE               |GA |US |BLH    -19911029KB  |50.    kW |50.    kW |147.0   |147.0   |64428      |N |31 |41 |37.00 |W |81  |23 |27.00 |WRGO-FM RADIO LLC                                                           |   0.00 km |   0.00 mi |  0.00 deg |149.   m|149.0  m|-         |-       |1018708 |144.   m|166199    |
|WLZN        |92.3  MHz |FM |222 |ND  |-                   |A  |-  |LIC    |MACON                    |GA |US |BLH    -19920813KB  |3.     kW |3.     kW |100.0   |100.0   |54672      |N |32 |46 |26.00 |W |83  |38 |15.00 |CUMULUS LICENSING LLC                                                       |   0.00 km |   0.00 mi |  0.00 deg |211.   m|211.0  m|-         |-       |-       |116.   m|176111    |
|WQLI        |92.3  MHz |FM |222 |ND  |-                   |A  |-  |LIC    |MEIGS                    |GA |US |BLH    -20030721AAA |6.     kW |6.     kW |100.0   |100.0   |15915      |N |31 |5  |12.00 |W |84  |12 |10.00 |FLINT MEDIA, INC.                                                           |   0.00 km |   0.00 mi |  0.00 deg |175.4  m|175.4  m|-         |-       |1238490 |68.4   m|980172    |
|WMOQ        |92.3  MHz |FM |222 |ND  |-                   |A  |-  |LIC    |BOSTWICK                 |GA |US |BLH    -20071022BXC |3.     kW |3.     kW |100.0   |100.0   |6479       |N |33 |44 |49.00 |W |83  |33 |23.00 |BOSTWICK BROADCASTING GROUP, INC.                                           |   0.00 km |   0.00 mi |  0.00 deg |324.   m|324.0  m|-         |-       |1019393 |94.    m|1223071   |
|WAEG        |92.3  MHz |FM |222 |ND  |-                   |A  |-  |LIC    |EVANS                    |GA |US |BLH    -20090622ADY |6.     kW |6.     kW |100.0   |100.0   |31941      |N |33 |35 |24.50 |W |82  |13 |52.50 |PERRY BROADCASTING OF AUGUSTA, INC.                                         |   0.00 km |   0.00 mi |  0.00 deg |195.   m|195.0  m|-         |-       |1019565 |85.    m|1310334   |
|WKZZ        |92.5  MHz |FM |223 |ND  |-                   |C3 |-  |LIC    |TIFTON                   |GA |US |BLH    -19990913AAW |20.5   kW |20.5   kW |110.0   |110.0   |50535      |N |31 |31 |40.00 |W |83  |20 |1.00  |BROADCAST SOUTH, LLC                                                        |   0.00 km |   0.00 mi |  0.00 deg |196.   m|196.0  m|-         |-       |1038671 |93.    m|422005    |
|WEKS        |92.5  MHz |FM |223 |ND  |-                   |C3 |-  |LIC    |ZEBULON                  |GA |US |BLH    -20060714AAC |12.    kW |12.    kW |145.0   |145.0   |61617      |N |33 |8  |20.00 |W |84  |31 |31.00 |LEGACY MEDIA - SOUTH ATLANTA, LLC                                           |   0.00 km |   0.00 mi |  0.00 deg |380.   m|380.0  m|-         |-       |1251675 |148.4  m|1140087   |
|WKKZ        |92.7  MHz |FM |224 |ND  |-                   |C2 |-  |LIC    |DUBLIN                   |GA |US |BLH    -19930607KA  |50.    kW |50.    kW |127.0   |127.0   |34942      |N |32 |31 |21.00 |W |82  |54 |0.00  |KIRBY BROADCASTING COMPANY                                                  |   0.00 km |   0.00 mi |  0.00 deg |203.   m|203.0  m|-         |-       |-       |142.   m|187082    |
|WBGA        |92.7  MHz |FM |224 |ND  |-                   |A  |-  |LIC    |ST. SIMONS ISLAND        |GA |US |BLH    -19951201KC  |6.     kW |6.     kW |100.0   |100.0   |36929      |N |31 |9  |42.00 |W |81  |28 |28.00 |QANTUM OF BRUNSWICK LICENSE COMPANY, LLC                                    |   0.00 km |   0.00 mi |  0.00 deg |101.   m|101.0  m|-         |-       |-       |101.   m|217240    |
|WBGA        |92.7  MHz |FM |224 |ND  |-                   |C3 |-  |CP     |ST. SIMONS ISLAND        |GA |US |BPH    -20121009ACF |16.5   kW |16.5   kW |123.3   |123.3   |36929      |N |31 |10 |9.00  |W |81  |32 |14.00 |QANTUM OF BRUNSWICK LICENSE COMPANY, LLC                                    |   0.00 km |   0.00 mi |  0.00 deg |125.   m|125.0  m|-         |-       |1020860 |122.   m|1512178   |
|WAAC        |92.9  MHz |FM |225 |ND  |-                   |C1 |-  |LIC    |VALDOSTA                 |GA |US |BLH    -19860903KD  |100.   kW |100.   kW |153.0   |153.0   |72122      |N |30 |48 |13.00 |W |83  |21 |20.00 |W.G.O.V., INC.                                                              |   0.00 km |   0.00 mi |  0.00 deg |207.   m|207.0  m|-         |-       |-       |137.   m|91839     |
|WZGC        |92.9  MHz |FM |225 |ND  |-                   |C1 |-  |LIC    |ATLANTA                  |GA |US |BMLH   -20080226ABQ |66.    kW |66.    kW |340.0   |340.0   |13805      |N |33 |48 |26.00 |W |84  |20 |21.80 |CBS RADIO INC. OF ATLANTA                                                   |   0.00 km |   0.00 mi |  0.00 deg |612.3  m|612.3  m|-         |-       |1223132 |348.   m|1236158   |
|NEW         |92.9  MHz |FM |225 |DA  |-                   |A  |-  |CP     |WAYNESBORO               |GA |US |BNPH   -20060309ADH |5.     kW |5.     kW |94.0    |94.0    |166071     |N |33 |9  |56.70 |W |81  |57 |30.30 |RODNEY D. TOW, TRUSTEE                                                      |   0.00 km |   0.00 mi |  0.00 deg |164.   m|164.0  m|104797    |0.      |1235880 |70.    m|1424413   |
|WCHZ-FM     |93.1  MHz |FM |226 |ND  |-                   |A  |-  |LIC    |WARRENTON                |GA |US |BLH    -19970811KB  |4.1    kW |4.1    kW |122.0   |122.0   |17129      |N |33 |29 |59.00 |W |82  |37 |9.00  |WCHZ LICENSE, LLC                                                           |   0.00 km |   0.00 mi |  0.00 deg |268.   m|268.0  m|-         |-       |1016349 |103.   m|251988    |
|WBBK-FM     |93.1  MHz |FM |226 |ND  |-                   |C2 |-  |LIC    |BLAKELY                  |GA |US |BLH    -20040914AAU |45.    kW |45.    kW |100.0   |100.0   |41207      |N |31 |17 |55.00 |W |85  |3  |18.00 |ALABAMA MEDIA, LLC                                                          |   0.00 km |   0.00 mi |  0.00 deg |163.1  m|163.1  m|-         |-       |1002618 |96.7   m|1007339   |
|WEAS-FM     |93.1  MHz |FM |226 |ND  |-                   |C1 |-  |LIC    |SPRINGFIELD              |GA |US |BLH    -20051201CGX |100.   kW |100.   kW |299.0   |299.0   |71366      |N |32 |2  |45.00 |W |81  |20 |27.00 |CUMULUS LICENSING LLC                                                       |   0.00 km |   0.00 mi |  0.00 deg |303.7  m|303.7  m|-         |-       |1032657 |299.4  m|1097380   |
|WWKM        |93.1  MHz |FM |226 |ND  |-                   |A  |-  |LIC    |ROCHELLE                 |GA |US |BLH    -20130124AAK |4.7    kW |4.7    kW |81.0    |81.0    |170973     |N |31 |56 |54.00 |W |83  |26 |2.00  |GEORGIA EAGLE MEDIA, INC.                                                   |   0.00 km |   0.00 mi |  0.00 deg |176.   m|176.0  m|-         |-       |-       |54.    m|1538906   |
|WVFJ-FM     |93.3  MHz |FM |227 |ND  |-                   |C0 |-  |CP     |GREENVILLE               |GA |US |BPH    -20091124ACR |38.    kW |38.    kW |491.0   |491.0   |53679      |N |33 |5  |10.00 |W |84  |46 |10.00 |RADIO TRAINING NETWORK, INC.                                                |   0.00 km |   0.00 mi |  0.00 deg |742.   m|742.0  m|-         |-       |1011719 |474.   m|1337843   |
|WZAE        |93.3  MHz |FM |227 |ND  |-                   |A  |-  |LIC    |WADLEY                   |GA |US |BLED   -20100701AUC |4.     kW |4.     kW |43.9    |43.9    |170969     |N |32 |50 |55.00 |W |82  |24 |10.00 |RADIO TRAINING NETWORK, INC.                                                |   0.00 km |   0.00 mi |  0.00 deg |127.4  m|127.4  m|-         |-       |1056040 |57.9   m|1383432   |
|WVFJ-FM     |93.3  MHz |FM |227 |ND  |-                   |C1 |-  |LIC    |MANCHESTER               |GA |US |BMLED  -20110411ABY |27.    kW |27.    kW |491.0   |491.0   |53679      |N |33 |5  |10.00 |W |84  |46 |10.00 |RADIO TRAINING NETWORK, INC.                                                |   0.00 km |   0.00 mi |  0.00 deg |742.   m|742.0  m|-         |-       |1011719 |474.   m|1422238   |
|WSRM        |93.5  MHz |FM |228 |DA  |-                   |A  |-  |LIC    |COOSA                    |GA |US |BLH    -20090508AAF |1.2    kW |1.2    kW |226.0   |226.0   |30623      |N |34 |14 |2.00  |W |85  |13 |50.00 |ROME RADIO, LLC                                                             |   0.00 km |   0.00 mi |  0.00 deg |444.   m|444.0  m|79759     |0.      |-       |20.    m|1311600   |
|NEW         |93.5  MHz |FM |228 |ND  |-                   |A  |-  |APP    |MORGAN                   |GA |US |BSFH   -20120112AGB |0.     kW |0.     kW |0.0     |0.0     |190243     |N |31 |39 |10.00 |W |84  |36 |55.00 |EPISCOPO, JOSEPH A                                                          |   0.00 km |   0.00 mi |  0.00 deg |0.     m|0.0    m|-         |-       |-       |0.     m|1488779   |
|WMRG        |93.5  MHz |FM |228 |DA  |-                   |C3 |-  |CP     |MORGAN                   |GA |US |BNPH   -20120509AFD |25.    kW |25.    kW |100.0   |100.0   |190400     |N |31 |44 |5.00  |W |84  |30 |6.00  |CORE COMMUNICATORS SOUTH LLC                                                |   0.00 km |   0.00 mi |  0.00 deg |200.   m|200.0  m|109539    |0.      |1023726 |84.    m|1503159   |
|WVOH-FM     |93.5  MHz |FM |228 |ND  |-                   |C2 |-  |LIC    |NICHOLLS                 |GA |US |BLH    -20120713ACY |50.    kW |50.    kW |136.3   |136.3   |30658      |N |31 |29 |8.60  |W |82  |41 |28.10 |BROADCAST SOUTH, LLC                                                        |   0.00 km |   0.00 mi |  0.00 deg |198.2  m|198.2  m|-         |-       |1276366 |140.3  m|1505806   |
|WPEZ        |93.7  MHz |FM |229 |ND  |-                   |C1 |-  |LIC    |JEFFERSONVILLE           |GA |US |BLH    -20020529ABR |100.   kW |100.   kW |207.0   |207.0   |52551      |N |32 |45 |12.00 |W |83  |33 |46.00 |CUMULUS LICENSING LLC                                                       |   0.00 km |   0.00 mi |  0.00 deg |321.   m|321.0  m|-         |-       |1060959 |232.   m|602557    |
|NEW         |93.7  MHz |FM |229 |ND  |-                   |C3 |-  |APP    |ST. SIMONS ISLAND        |GA |US |BSFH   -20130415ACQ |0.     kW |0.     kW |0.0     |0.0     |191581     |N |31 |11 |39.00 |W |81  |29 |30.00 |ESSERMAN, DENISE                                                            |   0.00 km |   0.00 mi |  0.00 deg |0.     m|0.0    m|-         |-       |-       |0.     m|1560277   |
|NEW         |93.7  MHz |FM |229 |ND  |-                   |C3 |-  |APP    |ST. SIMONS ISLAND        |GA |US |BNPH   -20130722ADO |7.5    kW |7.5    kW |126.7   |126.7   |191581     |N |31 |11 |39.00 |W |81  |29 |30.00 |ESSERMAN, DENISE                                                            |   0.00 km |   0.00 mi |  0.00 deg |128.6  m|128.6  m|-         |-       |1002863 |124.   m|1560358   |
|NEW         |93.7  MHz |FM |229 |ND  |-                   |C3 |-  |APP    |ST. SIMONS ISLAND        |GA |US |BNPH   -20130722ADO |7.5    kW |7.5    kW |126.7   |126.7   |191581     |N |31 |11 |39.00 |W |81  |29 |30.00 |ESSERMAN, DENISE                                                            |   0.00 km |   0.00 mi |  0.00 deg |128.6  m|128.6  m|-         |-       |1002863 |124.   m|1569222   |
|WMTM-FM     |93.9  MHz |FM |230 |ND  |-                   |C1 |-  |LIC    |MOULTRIE                 |GA |US |BLH    -19901029KC  |100.   kW |100.   kW |169.0   |169.0   |12381      |N |31 |12 |54.00 |W |83  |47 |13.00 |COLQUITT BROADCASTING COMPANY, LLC                                          |   0.00 km |   0.00 mi |  0.00 deg |261.   m|261.0  m|-         |-       |-       |172.   m|153863    |
|WDRR        |93.9  MHz |FM |230 |DA  |-                   |C3 |-  |LIC    |MARTINEZ                 |GA |US |BLH    -19940224KA  |13.    kW |13.    kW |139.0   |139.0   |14667      |N |33 |26 |17.00 |W |82  |5  |19.00 |WGOR LICENSE, LLC                                                           |   0.00 km |   0.00 mi |  0.00 deg |231.   m|231.0  m|14441     |0.      |-       |91.    m|195253    |
|WQBT        |94.1  MHz |FM |231 |ND  |-                   |C0 |-  |LIC    |SAVANNAH                 |GA |US |BLH    -20020604AAV |100.   kW |100.   kW |396.0   |396.0   |8594       |N |32 |2  |45.00 |W |81  |20 |27.00 |CAPSTAR TX LLC                                                              |   0.00 km |   0.00 mi |  0.00 deg |402.   m|402.0  m|-         |-       |1032657 |398.   m|604356    |
|WSTR        |94.1  MHz |FM |231 |ND  |-                   |C0 |-  |LIC    |SMYRNA                   |GA |US |BLH    -20060523ADI |100.   kW |100.   kW |310.4   |310.4   |30822      |N |33 |45 |33.00 |W |84  |20 |5.00  |LINCOLN FINANCIAL MEDIA COMPANY OF GEORGIA                                  |   0.00 km |   0.00 mi |  0.00 deg |593.8  m|593.8  m|-         |-       |1028278 |292.   m|1129989   |
|WLEL        |94.3  MHz |FM |232 |ND  |-                   |A  |-  |LIC    |ELLAVILLE                |GA |US |BLH    -20090326ADU |4.8    kW |4.8    kW |100.0   |100.0   |165968     |N |32 |15 |10.00 |W |84  |13 |50.00 |SUMMER ROSE BROADCASTING                                                    |   0.00 km |   0.00 mi |  0.00 deg |230.   m|230.0  m|-         |-       |1254800 |82.    m|1303664   |
|WTHP        |94.3  MHz |FM |232 |ND  |-                   |C3 |-  |LIC    |GIBSON                   |GA |US |BLED   -20111114ADZ |6.3    kW |6.3    kW |174.0   |174.0   |83423      |N |33 |17 |5.00  |W |82  |35 |45.00 |AUGUSTA RADIO FELOWSHIP INSTITUTE, INC.                                     |   0.00 km |   0.00 mi |  0.00 deg |310.   m|310.0  m|-         |-       |1248538 |148.   m|1462079   |
|WBYZ        |94.5  MHz |FM |233 |ND  |-                   |C0 |-  |LIC    |BAXLEY                   |GA |US |BMLH   -20070403ABX |100.   kW |100.   kW |309.1   |309.1   |61095      |N |31 |47 |6.00  |W |82  |26 |58.00 |SOUTH GEORGIA BROADCASTERS, INC.                                            |   0.00 km |   0.00 mi |  0.00 deg |370.1  m|370.1  m|-         |-       |1017251 |304.5  m|1179191   |
|WFDR-FM     |94.5  MHz |FM |233 |ND  |-                   |A  |-  |LIC    |WOODBURY                 |GA |US |BLH    -20070921ADQ |2.75   kW |2.75   kW |150.0   |150.0   |171035     |N |32 |50 |40.00 |W |84  |37 |25.00 |PLOENER RADIO GROUP, LLC                                                    |   0.00 km |   0.00 mi |  0.00 deg |398.5  m|398.5  m|-         |-       |1020405 |63.5   m|1205077   |
|WIPK        |94.5  MHz |FM |233 |ND  |-                   |A  |-  |LIC    |CALHOUN                  |GA |US |BLH    -20111207AHS |6.     kW |6.     kW |99.0    |99.0    |189512     |N |34 |28 |18.00 |W |84  |53 |8.00  |RADIO WEBS, INC.                                                            |   0.00 km |   0.00 mi |  0.00 deg |324.9  m|324.9  m|-         |-       |1280924 |42.7   m|1478438   |
|WFDR-FM     |94.5  MHz |FM |233 |ND  |-                   |A  |-  |CP MOD |WOODBURY                 |GA |US |BMPH   -20130809ACK |4.4    kW |4.4    kW |117.0   |117.0   |171035     |N |32 |58 |57.70 |W |84  |37 |4.40  |PLOENER RADIO GROUP, LLC                                                    |   0.00 km |   0.00 mi |  0.00 deg |362.   m|362.0  m|-         |-       |1278581 |107.   m|1567788   |
|WDEC-FM     |94.7  MHz |FM |234 |ND  |-                   |C3 |-  |LIC    |AMERICUS                 |GA |US |BLH    -19960401KA  |25.    kW |25.    kW |100.0   |100.0   |63786      |N |31 |53 |52.00 |W |84  |18 |53.00 |SUMTER BROADCASTING CO., INC.                                               |   0.00 km |   0.00 mi |  0.00 deg |205.   m|205.0  m|-         |-       |-       |111.   m|222665    |
|WULK        |94.7  MHz |FM |234 |ND  |-                   |A  |-  |LIC    |CRAWFORDVILLE            |GA |US |BLH    -20121026AAB |3.8    kW |3.8    kW |128.0   |128.0   |183349     |N |33 |30 |54.00 |W |82  |55 |18.00 |LYNESS, ARTHUR                                                              |   0.00 km |   0.00 mi |  0.00 deg |301.   m|301.0  m|-         |-       |1057415 |136.   m|1521794   |
|WHKN        |94.9  MHz |FM |235 |ND  |-                   |C3 |-  |LIC    |MILLEN                   |GA |US |BLH    -19920214KC  |14.5   kW |14.5   kW |122.0   |122.0   |54511      |N |32 |43 |57.00 |W |81  |51 |43.00 |GEORGIA EAGLE MEDIA, INC.                                                   |   0.00 km |   0.00 mi |  0.00 deg |181.   m|181.0  m|-         |-       |-       |117.   m|170477    |
|WUBL        |94.9  MHz |FM |235 |ND  |-                   |C1 |-  |LIC    |ATLANTA                  |GA |US |BLH    -20000413ABM |100.   kW |100.   kW |298.0   |298.0   |29735      |N |33 |48 |27.00 |W |84  |20 |27.00 |CITICASTERS LICENSES, INC.                                                  |   0.00 km |   0.00 mi |  0.00 deg |581.   m|581.0  m|28457     |-       |1016652 |314.   m|496191    |
|WUBL        |94.9  MHz |FM |235 |ND  |-                   |C1 |-  |CP MOD |ATLANTA                  |GA |US |BMPH   -20120801ABA |80.    kW |80.    kW |330.0   |330.0   |29735      |N |33 |48 |26.00 |W |84  |20 |21.80 |CITICASTERS LICENSES, INC.                                                  |   0.00 km |   0.00 mi |  0.00 deg |612.   m|612.0  m|-         |-       |1223132 |348.   m|1509037   |
|WGAC-FM     |95.1  MHz |FM |236 |DA  |-                   |C3 |-  |LIC    |HARLEM                   |GA |US |BLH    -19940415KB  |5.7    kW |5.7    kW |164.0   |164.0   |24423      |N |33 |29 |7.00  |W |82  |12 |7.00  |WCHZ LICENSE, LLC                                                           |   0.00 km |   0.00 mi |  0.00 deg |273.   m|273.0  m|14545     |0.      |-       |149.   m|197866    |
|WMGB        |95.1  MHz |FM |236 |ND  |-                   |C2 |-  |LIC    |MONTEZUMA                |GA |US |BLH    -20010810AAD |46.    kW |46.    kW |119.0   |119.0   |88541      |N |32 |33 |20.00 |W |83  |44 |14.00 |CUMULUS LICENSING LLC                                                       |   0.00 km |   0.00 mi |  0.00 deg |237.   m|237.0  m|-         |-       |1036164 |103.   m|576363    |
|WJRB        |95.1  MHz |FM |236 |ND  |-                   |A  |-  |LIC    |YOUNG HARRIS             |GA |US |BLH    -20070830ADE |0.2    kW |0.2    kW |483.0   |483.0   |170937     |N |34 |56 |26.00 |W |83  |55 |8.00  |WJRB RADIO, LLC                                                             |   0.00 km |   0.00 mi |  0.00 deg |1123.  m|1123.0 m|-         |-       |-       |20.    m|1202320   |
|WVKV        |95.3  MHz |FM |237 |ND  |-                   |C2 |-  |LIC    |NASHVILLE                |GA |US |BMLED  -20070202ADB |29.    kW |29.    kW |159.0   |159.0   |67098      |N |31 |10 |18.00 |W |83  |21 |57.00 |EDUCATIONAL MEDIA FOUNDATION                                                |   0.00 km |   0.00 mi |  0.00 deg |231.   m|231.0  m|-         |-       |1017424 |162.   m|1171627   |
|WGUR        |95.3  MHz |FM |237 |ND  |-                   |D  |-  |LIC    |MILLEDGEVILLE            |GA |US |BLED   -20120424AAI |0.085  kW |0.085  kW |12.0    |12.0    |23907      |N |33 |4  |53.00 |W |83  |13 |52.00 |GEORGIA COLLEGE & STATE UNIVERSITY                                          |   0.00 km |   0.00 mi |  0.00 deg |130.   m|130.0  m|-         |-       |-       |32.    m|1497152   |
|WIXV        |95.5  MHz |FM |238 |ND  |-                   |C1 |-  |LIC    |SAVANNAH                 |GA |US |BLH    -20030514ADV |98.    kW |98.    kW |301.2   |301.2   |54799      |N |32 |3  |29.00 |W |81  |20 |19.00 |CUMULUS LICENSING LLC                                                       |   0.00 km |   0.00 mi |  0.00 deg |307.8  m|307.8  m|-         |-       |1032655 |302.   m|661096    |
|WSBB-FM     |95.5  MHz |FM |238 |ND  |-                   |C1 |-  |LIC    |DORAVILLE                |GA |US |BLH    -20070926AKM |40.    kW |40.    kW |432.0   |432.0   |11710      |N |34 |7  |32.00 |W |83  |51 |32.00 |COX RADIO, INC.                                                             |   0.00 km |   0.00 mi |  0.00 deg |747.   m|747.0  m|-         |-       |1019528 |476.   m|1206225   |
|WSBB-FM     |95.5  MHz |FM |238 |DA  |-                   |C1 |-  |APP    |DORAVILLE                |GA |US |BPH    -20060501AOE |100.   kW |100.   kW |250.0   |250.0   |11710      |N |33 |45 |33.00 |W |84  |20 |5.00  |COX RADIO, INC.                                                             |   0.00 km |   0.00 mi |  0.00 deg |531.   m|531.0  m|83869     |0.      |1028278 |229.   m|1209588   |
|WATG        |95.7  MHz |FM |239 |ND  |-                   |A  |-  |LIC    |TRION                    |GA |US |BLH    -19961009KB  |1.3    kW |1.3    kW |213.0   |213.0   |67769      |N |34 |28 |10.00 |W |85  |17 |48.00 |TTA BROADCASTING, INC                                                       |   0.00 km |   0.00 mi |  0.00 deg |451.   m|451.0  m|-         |-       |-       |30.    m|234099    |
|WQPW        |95.7  MHz |FM |239 |ND  |-                   |C2 |-  |LIC    |VALDOSTA                 |GA |US |BLH    -20070817AAJ |32.    kW |32.    kW |185.1   |185.1   |41336      |N |30 |42 |7.00  |W |83  |6  |54.00 |SOUTHERN COMMUNICATIONS, LLC                                                |   0.00 km |   0.00 mi |  0.00 deg |231.7  m|231.7  m|-         |-       |1019857 |188.1  m|1199911   |
|WIOL-FM     |95.7  MHz |FM |239 |ND  |-                   |A  |-  |LIC    |WAVERLY HALL             |GA |US |BLH    -20100429AEB |6.     kW |6.     kW |70.0    |70.0    |50534      |N |32 |41 |54.00 |W |84  |44 |9.00  |DAVIS BROADCASTING, INC. OF COLUMBUS                                        |   0.00 km |   0.00 mi |  0.00 deg |279.   m|279.0  m|-         |-       |1248945 |55.    m|1365640   |
|WQZY        |95.9  MHz |FM |240 |ND  |-                   |C0 |-  |LIC    |DUBLIN                   |GA |US |BLH    -20040405ACI |100.   kW |100.   kW |312.0   |312.0   |62474      |N |32 |40 |42.00 |W |82  |33 |26.00 |STATE RADIO LICENSE, INC.                                                   |   0.00 km |   0.00 mi |  0.00 deg |404.   m|404.0  m|-         |-       |1239861 |299.   m|986642    |
|WWPW        |96.1  MHz |FM |241 |ND  |-                   |C0 |-  |LIC    |ATLANTA                  |GA |US |BLH    -19880104KC  |100.   kW |100.   kW |300.0   |300.0   |11275      |N |33 |48 |27.00 |W |84  |20 |26.00 |CITICASTERS LICENSES, INC.                                                  |   0.00 km |   0.00 mi |  0.00 deg |581.   m|581.0  m|-         |-       |1016652 |315.   m|108139    |
|WWPW        |96.1  MHz |FM |241 |ND  |-                   |C0 |-  |CP     |ATLANTA                  |GA |US |BPH    -20120514ABD |100.   kW |100.   kW |330.0   |330.0   |11275      |N |33 |48 |26.00 |W |84  |20 |21.80 |CITICASTERS LICENSES, INC.                                                  |   0.00 km |   0.00 mi |  0.00 deg |612.   m|612.0  m|-         |-       |1223132 |348.   m|1499215   |
|WJIZ-FM     |96.3  MHz |FM |242 |ND  |-                   |C1 |-  |LIC    |ALBANY                   |GA |US |BMLH   -20031014AIE |100.   kW |100.   kW |142.0   |142.0   |6616       |N |31 |39 |16.00 |W |84  |10 |36.00 |CC LICENSES, LLC                                                            |   0.00 km |   0.00 mi |  0.00 deg |211.   m|211.0  m|-         |-       |1020409 |142.   m|693458    |
|WRBN        |96.3  MHz |FM |242 |DA  |-                   |A  |-  |CP     |CLAYTON                  |GA |US |BPH    -20120702ABA |0.37   kW |0.37   kW |395.0   |395.0   |56201      |N |34 |54 |24.00 |W |83  |24 |56.00 |SUTTON RADIOCASTING CORPORATION                                             |   0.00 km |   0.00 mi |  0.00 deg |1126.  m|1126.0 m|109835    |0.      |-       |29.    m|1497108   |
|WPCH        |96.5  MHz |FM |243 |ND  |-                   |C3 |-  |LIC    |GRAY                     |GA |US |BLH    -20000613AAT |8.     kW |8.     kW |174.0   |174.0   |29128      |N |32 |58 |31.00 |W |83  |47 |59.00 |AMFM RADIO LICENSES, L.L.C.                                                 |   0.00 km |   0.00 mi |  0.00 deg |317.   m|317.0  m|-         |-       |1019744 |146.   m|503165    |
|WJCL-FM     |96.5  MHz |FM |243 |ND  |-                   |C  |-  |LIC    |SAVANNAH                 |GA |US |BMLH   -20110307ACU |100.   kW |100.   kW |354.0   |354.0   |37178      |N |32 |3  |29.00 |W |81  |20 |19.00 |CUMULUS LICENSING LLC                                                       |   0.00 km |   0.00 mi |  0.00 deg |361.   m|361.0  m|-         |-       |1032655 |356.   m|1418687   |
|WRDG        |96.7  MHz |FM |244 |ND  |-                   |A  |-  |LIC    |PEACHTREE CITY           |GA |US |BLH    -20001208AAA |2.15   kW |2.15   kW |168.0   |168.0   |61142      |N |33 |29 |22.00 |W |84  |34 |7.00  |CITICASTERS LICENSES, INC.                                                  |   0.00 km |   0.00 mi |  0.00 deg |442.   m|442.0  m|-         |-       |1018915 |149.   m|540002    |
|WGOV-FM     |96.7  MHz |FM |244 |ND  |-                   |C2 |-  |LIC    |VALDOSTA                 |GA |US |BLH    -20060601ABI |50.    kW |50.    kW |100.0   |100.0   |9684       |N |30 |48 |13.00 |W |83  |21 |20.00 |W.G.O.V., INC.                                                              |   0.00 km |   0.00 mi |  0.00 deg |157.   m|157.0  m|-         |-       |1016673 |87.    m|1120362   |
|WSGC-FM     |96.7  MHz |FM |244 |ND  |-                   |A  |-  |CP MOD |TIGNALL                  |GA |US |BMPH   -20130207AAT |6.     kW |6.     kW |100.0   |100.0   |84470      |N |33 |59 |22.00 |W |82  |46 |23.00 |GEORGIA-CAROLINA RADIOCASTING COMPANY, LLC                                  |   0.00 km |   0.00 mi |  0.00 deg |242.   m|242.0  m|-         |-       |1024116 |108.   m|1553757   |
|WSGC-FM     |96.7  MHz |FM |244 |DA  |-                   |C2 |-  |APP    |TIGNALL                  |GA |US |BPH    -20140106DJY |50.    kW |50.    kW |139.0   |139.0   |84470      |N |34 |4  |19.00 |W |83  |6  |30.00 |GEORGIA-CAROLINA RADIOCASTING COMPANY, LLC                                  |   0.00 km |   0.00 mi |  0.00 deg |330.   m|330.0  m|117428    |0.      |1039167 |128.   m|1618330   |
|WRDO        |96.9  MHz |FM |245 |ND  |-                   |A  |-  |LIC    |FITZGERALD               |GA |US |BLH    -20020425ABO |6.     kW |6.     kW |100.0   |100.0   |24738      |N |31 |44 |33.00 |W |83  |14 |39.00 |BROADCAST SOUTH, LLC                                                        |   0.00 km |   0.00 mi |  0.00 deg |194.   m|194.0  m|-         |-       |1041381 |87.    m|601294    |
